Kanji,Meaning
日,1. Sun    2. Day    3. Japan
一,One
二,Two
三,Three
十,Ten
四,Four
五,Five
六,Six
七,Seven
八,Eight
九,Nine
丸,Round
円,1. Circle    2. Yen
〇,"1. Zero, placeholder    2. Circle mark; ""blank"""
人,Human being
百,Hundred
千,Thousand
万,Ten thousand
口,Mouth
田,Rice field
目,1. Eye    2. Item
川,River
月,1. Moon    2. Month
明,1. Bright    2. Clear
曜,Day of the week
火,Fire
水,Water
木,1. Tree    2. Wood
金,1. Metal    2. Gold    3. Money
土,"Soil, land"
本,"1. Basis, origin, root    2. Book    3. This"
東,East
大,1. Big    2. University
小,Small
中,1. Middle    2. In    3. China
生,1. Life    2. Be born    3. Student
山,Mountain
出,1. Go out    2. Put out
入,1. Enter    2. Put in
下,Down
上,Up
止,Stop
正,Right
足,1. Foot    2. Suffice
定,"Fix, decide, settle"
手,1. Hand    2. Performer of an action
用,"1. Employ, use    2. Things to do, business"
無,1. Without    2. Nothing
不,"Not, un-"
回,1. Turn round    2. Time
言,"1. Say    2. Speech, word"
舌,Tongue
話,Speak
活,"1. Active    2. Live, lead one's life"
行,"1. Go, proceed    2. Act, perform    3. Line (of print)"
心,"Heart, mind"
耳,Ear
又,"1. Again; also    2. Or, in other words"
取,Take
身,1. Body    2. One's person    3. Social position
休,"Rest, suspend"
体,1. Body    2. Form
信,"1. Believe, trust    2. Message, signal"
付,"Attach, be attached to, hand over"
受,"Receive, accept"
以,1. To the … of    2. By means of
立,1. Stand    2. Establish
部,"Section, division, department"
倍,"1. Times, -fold    2. Double"
成,1. Become; form    2. Achieve
代,"1. Replace, substitute    2. Generation, age    3. Charge, fare"
王,King
玉,Gem; round or spherical object
宝,Treasure
国,Country
白,White
皇,Emperor
全,"Whole, all"
書,1. Write    2. Book
事,1. Affair    2. Abstract thing
自,Self
貝,Shellfish
見,See
力,"Power, strength, force"
刀,Sword
切,"Cut, sharp"
刃,Blade
分,1. Divide    2. Part    3. Minute
公,Public
別,1. Separate    2. Another
長,"1. Long    2. Chief, senior"
男,Man
女,Woman
子,"1. Child, son    2. Noun suffix, small object"
好,1. Like    2. Favourable
安,1. Peaceful    2. Inexpensive
案,"Proposal, plan, idea"
字,Character
学,1. Study    2. School
父,Father
文,"1. Writings, learning, culture    2. Letter, script"
交,"1. Intercourse, association    2. Cross"
校,1. School    2. Proofread
母,Mother
毎,Every
海,Sea
者,Person
工,"1. Manufacture; workmanship, work    2. Construction"
式,1. Form    2. Ceremony    3. Formula
弐,Two (in legal documents)
武,Military; warrior
糸,Thread
前,"Before, ahead"
後,"After, behind"
午,1. Noon    2. (sign of) The horse
牛,Cattle
年,Year
件,"Matter, case"
条,"Article, section, clause; strip"
化,"Change into, convert"
花,Flower
北,North
比,1. Compare    2. phonetic [hi]
背,Back
車,"1. Vehicle, car    2. Wheel"
気,1. Gas    2. Spirit
汽,Steam
性,"1. Nature    2. Sex, gender    3. -ity"
畑,(cultivated) Field
青,Blue; green
麦,Wheat
素,"1. Element    2. Plain, bare"
毒,Poison
先,"Ahead (of), previous"
洗,Wash
元,Origin
光,"Light, glow"
去,"Go away, leave"
法,1. Law    2. Method
走,Run
当,"1. The present, the said, this/that    2. Hit (the mark); correspond to; allot"
思,"Think, feel; wish"
早,1. Early    2. Quick
草,Grass
朝,1. Morning    2. Dynasty
潮,(morning) Tide
形,"Shape, material form"
発,"1. Start, generate    2. Emit, issue    3. Open up, develop"
廃,"1. Abandon, abolish    2. Waste"
音,Sound
意,"1. Mind, thoughts; opinion; will    2. Meaning, sense"
作,"1. Make, produce, cultivate    2. Work, do"
昨,1. Yesterday    2. Last
雨,Rain
電,Electricity
頁,Page
首,1. Head    2. Neck    3. Leader
道,Way
通,1. Pass (through)    2. Communicate
乳,"Milk, breast"
豆,"Bean, pea"
頭,"Head, top, beginning"
予,In advance
矛,Halberd
預,Deposit
句,1. Phrase    2. Haiku
旬,Ten-day period
勺,Shaku (0.018 litre)
的,1. Target    2. Adjectival Suffix
約,"1. Promise    2. Shorten, summarise    3. Approximately"
勿,"Do not, not , never"
物,Thing (material thing)
方,"1. Direction, side; locality; person    2. Way, method    3. Square"
防,Defend against
面,Face
画,1. Picture; draw    2. Draw up a plan
両,Both
岡,Hill
満,"Full, whole"
顔,Face
産,1. Give birth    2. Produce
同,"Same, similar"
向,"Turn toward, direction; other side"
尚,1. Still (more)    2. Value highly
高,"1. High, tall; expensive    2. Amount, quantity"
圧,Pressure
地,"1. Ground, land    2. Place"
池,"Pond, reservoir"
他,Other
集,"Gather, collect"
進,Advance
込,"1. Move inward, into    2. Emphatic verb suffix"
斤,Kin (600 grams)
近,1. Near (shortness of distance)    2. Recent
辺,"1. Vicinity (space next to something), side    2. Borderland, outer regions"
最,"Most, -est"
皿,Plate
血,Blood
温,Warm
湿,Moist
爪,"Claw, nail, plectrum"
瓜,Melon
巾,Cloth
布,1. Cloth    2. Spread
市,1. City    2. Market
吊,"Hang, suspend"
泉,Spring
原,"1. Plain, field    2. Original, primitive"
源,"Source, origin"
線,Line
綿,Cotton
絹,Silk
錦,Brocade
願,1. Wish    2. Ask a favour
内,Inside
肉,Flesh
猪,Wild boar
豚,Pig
家,"1. House, home    2. Family"
吾,"Ego, I"
我,Self
語,1. Word    2. Language    3. Tell
伝,Transmit
転,"Turn, roll over"
芸,"Art, craft; performance"
会,"1. Meet, gather    2. Society"
合,"1. Combine, join    2. Fit"
今,"1. Present, now    2. This"
令,Command
念,"Thoughts, mind, wish"
印,Seal; mark
命,"1. Order, command    2. Life    3. Fate"
亡,Deceased
米,1. Rice    2. America
粒,Grain
和,"1. Harmonious    2. Peace, calm    3. Japan"
私,1. I    2. Private
広,"Wide, spacious"
細,1. Slender    2. Minute
林,Forest
森,Thick woods
松,Pine
竹,Bamboo
都,"1. Metropolis, capital    2. Metropolis of Tokyo"
京,1. Capital    2. Tokyo    3. Kyoto
政,Political administration
府,1. Urban prefecture (Kyoto or Osaka)    2. Government office
戸,1. Door    2. Household
所,"1. Place, point, part    2. Particle of nominalisation, -ation"
至,Come to; utmost
致,"1. Bring about, lead to    2. Do humbly"
屋,1. House; roof    2. Small shop
室,"Room, chamber"
古,Old
居,1. Be present    2. Reside
局,"1. Bureau    2. Limited part, locality    3. Situation"
故,"1. Old; the late    2. Incident    3. Reason, cause"
胡,Natives of Ancient China
湖,Lake
固,1. Solid    2. Firm
箇,Counter for items; item
個,"1. Individual, single unit    2. General counter (for things or articles)"
且,"As well as, moreover both … and …"
組,1. Organise    2. Assemble
夕,Evening
外,"Outside; remove, come off"
多,Many; most
汐,Evening tide
名,Name; fame; first-rate
天,Heaven; weather; nature
未,Not yet
末,"Last part, end"
味,"Taste, flavour; contents"
来,Come
新,New
親,"1. Parents    2. Relatives    3. Intimate, friendly"
欠,"Lack, want"
次,"Next, second(ary), (numerical order)"
席,Seat
度,1. Degree    2. Time
渡,"Cross, ford"
限,"Limits, bounds"
銀,Silver
根,Root
良,Good
郎,1. Young man    2. Male name suffix
廊,"Corridor, gallery"
食,1. Eat    2. Food
飲,Drink
官,1. Government    2. Government official
館,Public building
宿,Lodge
犬,Dog
太,"1. Great, extremely large    2. Thick, fat"
器,"1. Vessel, container    2. Instrument"
凶,1. Misforturne    2. Evil
区,"1. Divide into sections    2. District    3. Ward, borough"
図,"Drawing, plan"
番,"1. Numerical order    2. Watch, duty"
号,"1. Number    2. Designation, title, name    3. Sign, signal"
品,1. Article    2. Grade of Excellence    3. Classification
楽,1. Pleasure    2. Comfortable    3. Music
薬,"Drug, chemical"
周,"Periphery, around; cycle"
週,Week
調,"1. Tone, note, condition    2. Investigate    3. Prepare, make ready"
束,1. Tie up    2. Bundle
整,Put in order
数,"Number, quantity, count"
類,"Kind, type"
示,Show
禁,Prohibit
礼,"Etiquette, rite"
社,1. Company    2. Society    3. Shinto shrine
申,1. Report (to a superior)    2. Speak humbly
神,"God, spirit"
員,"Member, personnel"
質,"1. Quality, nature    2. Matter, substance    3. Pawn, hostage"
党,Party
堂,"Hall, public building"
常,1. Normal    2. Regular
賞,"Prize, praise"
償,"Recompense, make up for"
掌,1. Palm of one's hand    2. Take charge of
覚,"1. Perceive, sense; realise    2. Wake up    3. Commit to memory"
悟,"Awake to , comprehend"
感,"Sense, feel"
央,Center
映,1. Reflect    2. Project
決,"Decide, reslove, settle"
快,"Pleasant, comfortable, quick"
英,1. Distinguished    2. England
並,"Line up, place in a row; average, ordinary"
平,1. Flat; impartial; plain    2. Calm
半,Half
馬,Horse
尺,Shaku (30.3cm)
尽,"Exhaust, use up"
駅,Station
鳥,Bird
島,Island
角,"1. Angle, corner    2. Horn"
虫,"Insect, worm"
触,Touch; come in contact with
解,"1. Take apart    2. Dissolve    3. Clarify, solve"
独,"Alone, by oneself"
店,Shop
占,"1. Occupy, hold    2. Divine"
点,"Point, dot"
士,"1. Military man    2. Man of learning, professional suffix"
商,"Trade, commerce"
買,Buy
売,Sell
続,Continue
読,Read
共,"Joint, together"
供,"Offer, submit"
洪,Flood
昔,Former times
冬,Winter
寒,Cold
春,Spring
夏,Summer
秋,Autumn
主,"1. Main    2. Lord, master"
住,"Live, inhabit"
駐,Stationed
注,"1. Pour    2. Concentrate, pay attention to"
志,"Ambition, aim"
誌,"Magazine, document"
仕,1. Serve    2. Do
任,"1. Office, duty    2. Entrust, leave (up) to"
支,"1. Branch    2. Support, prop up    3. Be obstructed"
反,"Counter, against, anti-"
坂,Slope
阪,Slope
飯,1. Cooked rice    2. Meal
返,"Return, send back"
雑,1. Miscellaneous    2. Mix
乱,"Disordered, excessive"
寸,1. A bit of    2. Sun (3.03 cm)
寺,Buddhist temple
時,Time
持,"Hold, have, keep"
特,Special
待,"Wait (for), treat"
得,"1. Acquire    2. Gain, benefit"
侍,1. Attend upon    2. Samurai
詩,Poetry
即,"1. Immediate    2. Namely, that is"
節,"1. Joint, node    2. Section, space; space out, economise    3. Season, time"
筋,"1. Muscle, sinew    2. Threadlike structure, thread"
等,"1. Equal; ""and the like"", ""etc.""    2. Class, grade"
均,"Equal, even, uniform"
季,Season
委,Commit
穴,"Hole, cave"
空,1. Sky    2. Air    3. Empty
友,Friend
有,"Have; exist, there is"
左,Left
右,Right
石,Stone
若,Young
苦,"1. Suffering, hardship    2. Bitter"
在,"Be, reside"
存,"Exist; be aware of, believe"
干,Dry
刊,Publish
汗,Sweat
竿,Pole
利,1. Advantage    2. Profit
害,"Harm, hinder"
益,"Benefit, profit"
溢,Spill over
割,"Divide, cut, break"
憲,"Constitution, code of laws"
羽,1. Feather    2. Wing
翌,The following
習,"1. Learn, study    2. Custom, habit"
弓,Bow
引,"1. Draw (toward), pull (back)    2. Reduce"
強,Strong
弱,Weak
風,1. Wind    2. Manner
己,Oneself
記,Write down
紀,"1. Era, age    2. Discipline, morals"
改,"Reform, renew"
起,Rise; arise; occur
姓,Surname
由,"Reason, cause"
油,Oil
井,Well
囲,Enclose
丼,Bowl (of food)
丁,1. Town subsection    2. Miscellaneous counter
寧,Courteous; peaceful
町,"Town, town section"
灯,Lamp
庁,Government Agency
貯,"Store up, save"
易,1. Easy    2. Exchange    3. Fortune-telling
賜,"Deign to give, bestow"
場,Place
湯,Hot water
門,Gate
間,"Space in between, interval"
閉,Close
開,Open
関,"1. Connect with, concern    2. Barrier"
問,"Question, ask"
聞,Hear; ask
訪,Visit
送,"Send, transmit"
券,1. Ticket    2. Certificate
包,1. Wrap    2. Encompass
巻,"1. Roll up, wind    2. Volume"
圏,"Sphere, circle, range"
勝,1. Win    2. Excel
戦,"War, battle, contest"
単,"Single, simple, unit"
簡,Simple
過,"1. Pass by    2. Exceed, over-"
骨,Bone
昼,"Daytime, midday"
夜,Night
液,Liquid
戒,"Caution, warn"
幾,1. How many    2. Some
畿,Capital region
磯,Rocky beach
機,1. Machine    2. Aircraft    3. Opportunity
械,Mechanical Contrivance
飛,Fly; leap
氏,"1. Family, clan; surname    2. Courtesy title"
民,"People, nation, race"
紙,Paper
低,Low
抵,"Resist, stand up to"
邸,Stately Residence
底,"Bottom, base"
巨,Giant
臣,"Retainer, subject"
基,"Base, foundation"
期,"1. Term, period    2. Expect, anticipate"
毛,Hair
尾,Tail
育,Raise
羊,Sheep
洋,Ocean
魚,Fish
鮮,1. Fresh    2. Vivid
蘇,Revive
詳,Detailed
祥,Auspicious
美,Beautiful
業,1. Work    2. Business    3. Industry
実,"1. Real, actual, true    2. Fruit, bear fruit"
養,"Foster, cultivate, raise to maturity"
様,"1. Mode, manner, way (of doing), style    2. Formal title"
企,"Scheme, project, plan"
曲,1. Musical composition    2. Curve
典,"1. Standard work    2. Canon, authority"
興,"1. Rise to prosperity, rouse up    2. Amusement, interest"
輿,Palanquin
竜,Dragon
滝,Waterfall
籠,"Basket, confine (oneself) in"
辰,(sign of) The dragon
農,Farming
濃,"Thick, concentrated"
豊,Abundant
吉,Lucky
詰,1. Stuff    2. Reprimand
結,1. Tie    2. Conclude
投,"1. Throw    2. Send in (to), submit"
役,"Service, duty, office®"
没,"Sink, fall in"
設,"Set up, establish"
段,"Step, stage"
殺,Kill
刹,Temple
刈,"Clip, crop"
絵,Picture
給,1. Supply    2. Pay
巴,Circular comma pattern
色,"1. Colour, character    2. Eros"
声,Voice
眉,Eyebrow
里,"1. Village, countryside    2. League, ri (about 3.9 km)"
理,"1. Reason, logic    2. Basic principle, law    3. Manage, put in order"
埋,"Bury, be buried"
野,"1. Field    2. Wild, rustic"
黒,Black
墨,India ink
童,Child
量,"Quantity, weigh(t), measure"
重,"1. Heavy    2. Pile on top of; layer, -ply; duplicate"
動,Move
働,Work
労,Labour
協,Cooperate
種,"1. Variety, type    2. Seed"
亜,1. Sub-    2. Phonetic [a]
悪,Bad
要,"1. Important, essential    2. Summarise    3. Require, required"
価,1. Price    2. Value
必,"Without fail, must"
証,1. Prove; guarentee    2. Certificate
歪,"Distort, strain"
否,1. Say no    2. or not
処,"Deal with, dispose of"
拠,"Grounds, basis"
計,"1. Plan    2. Compute, calculate"
針,Needle
総,"1. Whole, total    2. General"
窓,Window
矢,Arrow
知,Know
医,1. Medicine    2. Doctor
短,Short
失,1. Lose    2. Slip
鉄,Iron
夫,1. Husband    2. Male labourer
朱,Vermilion
株,"Stock, stub"
族,"Family, tribe"
旅,Travel
遊,Play
施,1. Execute    2. Bestow
旋,Gyrate
旗,Flag
放,Let go
激,"1. Violent, intense    2. Arouse, excite"
牧,"Pasture, tend cattle"
位,1. Rank    2. Position
泣,Cry
笑,"Laugh, smile"
専,"Exclusively, entirely"
恵,"Favour, kindness"
連,"1. Link, connect    2. In succession, in a row"
軍,"Army, military"
運,"1. Carry, transport    2. Move    3. Fortune, fate"
蓮,Lotus
隊,"Party, corps"
呈,Present
程,1. Extent    2. Established form
聖,1. Holy    2. Saint
丑,(sign of) The ox
紐,"String, cord"
革,"1. Leather    2. Reform, change"
靴,Shoes
鞄,"Suitcase, bag"
皮,Skin; leather
破,Break
彼,"Third person pronoun, boyfriend/girlfriend"
波,"Wave, undulation"
果,"1. Fruit, result    2. Accomplish; come to an end"
課,"1. Assignment, task, lesson    2. Assign, impose, levy"
巣,Nest
菓,Confectionery
茶,Tea
世,"1. World, public    2. Age, generation"
葉,Leaf
棄,"Abandon, throw away"
緑,Green
録,"Record, register"
剝,"Strip, peel off, come off"
縁,1. Relation    2. Edge
介,"Mediate, lie between; shellfish"
界,"1. World, area    2. Bounds, boundary"
浮,"Floating, transient"
将,General officer
奨,"Encourage, promote"
状,"1. Form, shape    2. Condition, state    3. Letter, note"
病,Illness
症,"Pathological condition, -osis"
痛,1. Pain    2. Acute
憶,Remember
臆,Feel timid
億,Hundred Million
視,"Look at, regard"
規,"Regulation, standard"
則,"Rule, law"
側,Side
測,"1. Measure, gauge    2. Conjecture, estimate"
考,Think; deliberate; study
老,Old
孝,Filial peity
厚,1. Thick    2. Kind
教,1. Teach; inform    2. Religion
完,Complete
院,Institution
奈,Phonetic [na]
宗,Religious sect
祭,"Festival, worship"
際,"1. Verge, edge    2. Occasion"
察,"1. Inspect, observe    2. Guess, judge"
祈,Pray
祖,Ancestor
助,"Help, save"
仲,1. Intermediary    2. Personal Relations
忠,"Loyalty, faithfulness"
沖,Open sea
保,"Preserve, maintain, guarentee"
呆,"Dumb, dumbfounded"
守,"Protect, watch over, keep"
団,"Collective, group, organisation"
対,"1. Opposite, counter to; in relation to    2. Oppose"
村,Village
才,1. Talent    2. -years old
財,Wealth; property
材,1. Timber    2. Material
沈,"Sink, submerge"
枕,Pillow
丈,1. Stature; measure    2. Stout
杖,"Cane, staff"
偉,"Great, eminent"
緯,Latitude; woof/weft
衛,Guard
韓,(South) Korea
違,1. Differ; be wrong    2. Violate
抱,Hold (in one's arm)
砲,Heavy gun
泡,"Bubble, foam"
丹,Cinnabar red; wholeheartedly
舟,Small boat
船,Ship
舶,Oceangoing ship
般,"Sort, kind"
搬,Carry
盤,1. Disk    2. board
歯,Tooth
冷,Cold
齢,Age
少,"Little, few"
砂,Sand
歩,"Walk, step"
渉,Have relations with
省,"1. Ministry    2. Save, cut down on, leave out    3. Introspect, reflect"
相,1. Aspect; physiognomy    2. Mutual    3. Minister (of a state)
想,Conceive
